"","GOterm","ParentTerm","Factor.x","term","bh_adjust_Up","bh_adjust_Down"
"26","GO:0000723","cellular component organization or biogenesis","Down, Up","telomere maintenance",1.40294661965459e-07,1.80349681373714e-08
"27","GO:0000724","cellular macromolecule metabolic process, DNA metabolic process","Down, Up","double-strand break repair via homologous recombination",1.59525991136564e-08,2.3660778676188e-08
"28","GO:0000725","cellular macromolecule metabolic process, DNA metabolic process","Down, Up","recombinational repair",1.59525991136564e-08,2.3660778676188e-08
"29","GO:0000768","anatomical structure morphogenesis","Down","syncytium formation by plasma membrane fusion",NA,4.82951492249608e-07
"30","GO:0000819","cell cycle","Down, Up","sister chromatid segregation",6.00022668414235e-17,3.26408271558916e-11
"31","GO:0000902","anatomical structure morphogenesis","Down, Up","cell morphogenesis",4.39381195349161e-74,9.57021532843577e-61
"32","GO:0000904","anatomical structure morphogenesis","Down, Up","cell morphogenesis involved in differentiation",4.23749946102689e-60,4.75088484555989e-51
"33","GO:0000910","cell division","Down, Up","cytokinesis",1.18799122262581e-17,4.09864474515645e-16
"34","GO:0000956","catabolic process","Down, Up","nuclear-transcribed mRNA catabolic process",1.27602634141385e-12,7.41875361675334e-31
"35","GO:0001101","response to chemical","Down, Up","response to acid chemical",2.27103266168706e-27,3.14815178444662e-17
"36","GO:0001505","regulation of biological quality","Down, Up","regulation of neurotransmitter levels",8.99948749224751e-26,1.05451243901635e-26
"37","GO:0001508","regulation of biological quality","Up","action potential",5.68791948808247e-06,NA
"38","GO:0001510","macromolecule modification","Up","RNA methylation",2.53643091288313e-07,NA
"39","GO:0001525","system development","Down, Up","angiogenesis",1.93993216031487e-17,4.75741647951708e-08
"40","GO:0001558","regulation of growth","Down, Up","regulation of cell growth",1.5051460046815e-30,6.59077924377044e-26
"41","GO:0001568","system development","Down, Up","blood vessel development",3.4428894703465e-30,7.41364078414385e-17
"42","GO:0001578","microtubule bundle formation, microtubule-based process","Down, Up","microtubule bundle formation",3.50438851174707e-11,2.42554399906995e-10
"43","GO:0001654","animal organ development","Down, Up","eye development",7.40224201750804e-51,1.87356932069325e-44
"44","GO:0001666","response to abiotic stimulus","Down, Up","response to hypoxia",8.85201327824807e-21,2.61778554157082e-21
"45","GO:0001667","cell motility","Down, Up","ameboidal-type cell migration",3.40501283380232e-30,6.23361839515204e-23
"46","GO:0001676","lipid metabolic process","Up","long-chain fatty acid metabolic process",1.08309681021714e-07,NA
"47","GO:0001678","homeostatic process","Down","intracellular glucose homeostasis",NA,3.6865781177372e-06
"48","GO:0001704","embryo development","Up","formation of primary germ layer",3.02056908318348e-13,NA
"49","GO:0001706","tissue development","Up","endoderm formation",5.07433498891452e-06,NA
"50","GO:0001707","tissue development","Up","mesoderm formation",6.62023926812591e-10,NA
"51","GO:0001708","cell fate commitment","Down, Up","cell fate specification",3.44421834686475e-13,1.04616270260778e-06
"52","GO:0001709","cell fate commitment","Down, Up","cell fate determination",1.01738613266159e-14,9.41879724179926e-14
"53","GO:0001736","anatomical structure morphogenesis","Down, Up","establishment of planar polarity",5.13628668023579e-09,4.89494326851362e-06
"54","GO:0001738","tissue development","Down, Up","morphogenesis of a polarized epithelium",2.85906095489352e-12,5.26113093787975e-08
"55","GO:0001763","anatomical structure morphogenesis","Down, Up","morphogenesis of a branching structure",7.8721156075655e-19,2.76987858834098e-09
"56","GO:0001764","cell motility","Down, Up","neuron migration",1.70603909621941e-08,7.25352718843416e-09
"57","GO:0001775","cell activation","Down, Up","cell activation",8.18211128001762e-53,7.02362843679938e-50
"58","GO:0001816","regulation of cytokine production","Up","cytokine production",5.93119219700128e-08,NA
"59","GO:0001817","regulation of multicellular organismal process, regulation of cytokine production","Down, Up","regulation of cytokine production",2.16406637497379e-27,1.38589115746302e-22
"60","GO:0001818","regulation of multicellular organismal process, regulation of cytokine production","Down, Up","negative regulation of cytokine production",7.59198889308206e-11,2.01127249983369e-08
"61","GO:0001819","regulation of multicellular organismal process, regulation of cytokine production","Down, Up","positive regulation of cytokine production",4.45859967428672e-16,1.57544979621468e-13
"62","GO:0001894","homeostatic process","Down, Up","tissue homeostasis",8.35546381561133e-14,5.46313626139094e-13
"63","GO:0001932","regulation of metabolic process","Down, Up","regulation of protein phosphorylation",7.60140973226905e-74,6.60180110456557e-61
"64","GO:0001933","phosphorus metabolic process","Down, Up","negative regulation of protein phosphorylation",1.84983446486726e-26,2.20511213195666e-24
"65","GO:0001934","regulation of metabolic process","Down, Up","positive regulation of protein phosphorylation",1.4833629081748e-52,2.38363971833653e-38
"66","GO:0001944","system development","Down, Up","vasculature development",3.46601029154199e-32,2.83068472859467e-18
"67","GO:0001952","regulation of cell adhesion","Up","regulation of cell-matrix adhesion",5.53128099245161e-08,NA
"68","GO:0002009","tissue development","Down, Up","morphogenesis of an epithelium",1.60777410949397e-76,5.13180177294397e-64
"69","GO:0002064","tissue development","Down, Up","epithelial cell development",6.97001402415044e-38,5.06539036222742e-36
"70","GO:0002119","post-embryonic development","Down, Up","nematode larval development",2.9175432514745e-23,1.06084945977993e-25
"71","GO:0002164","post-embryonic development","Down, Up","larval development",2.41790437875578e-32,2.74678305563856e-38
"72","GO:0002181","amide metabolic process","Down, Up","cytoplasmic translation",9.00671428948897e-07,3.87662021273881e-30
"73","GO:0002218","immune system process","Down, Up","activation of innate immune response",7.65104942248334e-09,1.37735808526594e-06
"74","GO:0002237","response to biotic stimulus","Down, Up","response to molecule of bacterial origin",6.85862344130345e-15,1.54082776117103e-18
"75","GO:0002252","immune system process","Down, Up","immune effector process",9.60243708500806e-50,7.38630101645216e-47
"76","GO:0002253","immune system process","Down, Up","activation of immune response",2.62938412325895e-18,1.01982159508747e-13
"77","GO:0002376","immune system process","Down, Up","immune system process",1.17926048210134e-120,1.77155400446325e-112
"78","GO:0002495","immune system process","Up","antigen processing and presentation of peptide antigen via MHC class II",1.37337789273287e-09,NA
"79","GO:0002504","immune system process","Up","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",1.37337789273287e-09,NA
"80","GO:0002521","hemopoiesis","Down, Up","leukocyte differentiation",4.77830791842616e-20,4.1120595943832e-17
"81","GO:0002682","immune system process","Down, Up","regulation of immune system process",5.28044456076525e-71,8.85811619401583e-57
"82","GO:0002683","immune system process","Down, Up","negative regulation of immune system process",9.01412142654223e-17,1.62692048297193e-18
"83","GO:0002684","immune system process","Down, Up","positive regulation of immune system process",1.60217789708533e-39,3.26839960601153e-28
"84","GO:0002694","cell activation","Down, Up","regulation of leukocyte activation",4.83603023534342e-20,4.48112723358253e-15
"85","GO:0002696","cell activation","Down, Up","positive regulation of leukocyte activation",1.70973362630487e-13,6.88190938889405e-07
"86","GO:0002697","immune system process","Down, Up","regulation of immune effector process",5.20256874228313e-21,6.47946627550636e-15
"87","GO:0002699","immune system process","Down, Up","positive regulation of immune effector process",3.42448139458345e-11,4.91892793807621e-09
"88","GO:0002700","immune system process","Down, Up","regulation of production of molecular mediator of immune response",2.98003992681095e-09,3.75632888735733e-07
"89","GO:0002702","immune system process","Up","positive regulation of production of molecular mediator of immune response",1.18656055497062e-07,NA
"90","GO:0002757","immune system process","Down, Up","immune response-activating signaling pathway",2.42557581701555e-16,3.97655260456159e-12
"91","GO:0002758","immune system process","Up","innate immune response-activating signaling pathway",3.04802441736531e-07,NA
"92","GO:0002764","immune system process","Down, Up","immune response-regulating signaling pathway",5.37248240867021e-17,9.21043633342436e-14
"93","GO:0002790","nitrogen compound transport","Down, Up","peptide secretion",3.23028873289655e-11,1.53261548567564e-08
"94","GO:0002791","nitrogen compound transport","Down, Up","regulation of peptide secretion",2.1914337871099e-22,8.46847401195195e-24
"95","GO:0002793","nitrogen compound transport","Down, Up","positive regulation of peptide secretion",8.8948800440963e-14,2.21625069970966e-15
"96","GO:0002819","immune system process","Down, Up","regulation of adaptive immune response",6.3584555255584e-07,6.43407298343634e-06
"97","GO:0002831","response to biotic stimulus","Down, Up","regulation of response to biotic stimulus",2.05311288056779e-14,8.08666544937833e-09
"98","GO:0002920","immune system process","Up","regulation of humoral immune response",2.61926224678239e-06,NA
"99","GO:0003002","pattern specification process","Down, Up","regionalization",3.29324128840706e-52,7.43848809431417e-48
"100","GO:0003006","reproduction","Down, Up","developmental process involved in reproduction",1.81121212848497e-106,1.33702462944245e-105
"101","GO:0003008","system process","Down, Up","system process",4.10777530454437e-80,6.97025469834264e-84
"102","GO:0003012","system process","Down, Up","muscle system process",5.57349976221936e-12,1.10654917000134e-10
"103","GO:0003341","microtubule-based process","Down, Up","cilium movement",6.32043554812676e-07,1.36056936462796e-08
"104","GO:0005975","carbohydrate metabolic process","Down, Up","carbohydrate metabolic process",1.47396353559988e-26,1.39088289437854e-25
"105","GO:0005976","carbohydrate metabolic process","Down, Up","polysaccharide metabolic process",5.23946416699708e-07,1.61083982193346e-07
"106","GO:0005996","carbohydrate metabolic process","Down, Up","monosaccharide metabolic process",6.03260571456255e-12,3.63690005204551e-13
"107","GO:0006006","carbohydrate metabolic process","Down","glucose metabolic process",NA,1.33910429635208e-08
"108","GO:0006022","carbohydrate derivative metabolic process","Down, Up","aminoglycan metabolic process",2.62385826782116e-09,8.21384470886335e-08
"109","GO:0006029","carbohydrate derivative metabolic process","Up","proteoglycan metabolic process",1.9812746341637e-06,NA
"110","GO:0006066","organic hydroxy compound metabolic process","Down, Up","alcohol metabolic process",4.14718820952634e-13,1.34387629580341e-14
"111","GO:0006081","cellular aldehyde metabolic process","Down","cellular aldehyde metabolic process",NA,4.2359050697637e-06
"112","GO:0006082","small molecule metabolic process","Down, Up","organic acid metabolic process",7.15308367948252e-61,4.97495188090423e-63
"113","GO:0006091","generation of precursor metabolites and energy","Down, Up","generation of precursor metabolites and energy",7.20370205240605e-26,1.38584054273652e-36
"114","GO:0006101","small molecule metabolic process","Down","citrate metabolic process",NA,8.28255858075546e-06
"115","GO:0006109","carbohydrate metabolic process","Down, Up","regulation of carbohydrate metabolic process",5.30038517205362e-09,6.03730109491118e-12
"116","GO:0006119","generation of precursor metabolites and energy","Down, Up","oxidative phosphorylation",4.93605556188006e-07,3.72214582542897e-15
"117","GO:0006120","generation of precursor metabolites and energy","Down","mitochondrial electron transport, NADH to ubiquinone",NA,1.40461057586017e-06
"118","GO:0006139","metabolic process","Down, Up","nucleobase-containing compound metabolic process",7.53701247822524e-214,2.06464841718377e-252
"119","GO:0006140","small molecule metabolic process","Down, Up","regulation of nucleotide metabolic process",1.83235834852025e-07,7.67376227003585e-09
"120","GO:0006163","organic cyclic compound metabolic process","Down, Up","purine nucleotide metabolic process",1.60486595388839e-24,3.40886132899052e-39
"121","GO:0006164","organic cyclic compound metabolic process","Down, Up","purine nucleotide biosynthetic process",3.89984401835535e-10,3.21468560404321e-15
"122","GO:0006259","cellular macromolecule metabolic process, DNA metabolic process","Down, Up","DNA metabolic process",1.6344552677168e-55,2.63632069377679e-50
"123","GO:0006260","cellular macromolecule metabolic process, DNA metabolic process","Down, Up","DNA replication",1.82406669922713e-16,2.23176144268725e-18
"124","GO:0006261","cellular macromolecule metabolic process, DNA metabolic process","Down, Up","DNA-templated DNA replication",3.14838735879764e-11,3.2675127592576e-13
"125","GO:0006275","cellular macromolecule metabolic process, DNA metabolic process","Down, Up","regulation of DNA replication",3.67514917235993e-11,1.46773955486756e-08
"126","GO:0006281","response to stress","Down, Up","DNA repair",1.91202434709258e-33,3.5408213958262e-28
"127","GO:0006282","regulation of response to stimulus","Down","regulation of DNA repair",NA,1.29435213584823e-07
"128","GO:0006283","response to stress","Down, Up","transcription-coupled nucleotide-excision repair",5.01396739548191e-07,2.15333555508606e-08
"129","GO:0006289","response to stress","Down, Up","nucleotide-excision repair",2.80911596073464e-10,2.00689451836058e-09
"130","GO:0006302","response to stress","Down, Up","double-strand break repair",2.32622903691378e-13,9.20155915566971e-12
"131","GO:0006304","DNA metabolic process","Up","DNA modification",5.81831103947383e-07,NA
"132","GO:0006310","cellular macromolecule metabolic process, DNA metabolic process","Down, Up","DNA recombination",5.2760426932232e-14,1.95857539011592e-12
"133","GO:0006325","chromatin organization","Down, Up","chromatin organization",4.10810094713984e-40,8.70588956624969e-47
"134","GO:0006338","chromatin organization","Down, Up","chromatin remodeling",1.60933462699421e-11,4.58462669164398e-15
"135","GO:0006351","biosynthetic process","Down, Up","DNA-templated transcription",1.47644486799349e-41,5.99570304762346e-58
"136","GO:0006352","biosynthetic process","Down, Up","DNA-templated transcription initiation",1.23702123336569e-08,4.9477802848139e-14
"137","GO:0006353","biosynthetic process","Down","DNA-templated transcription termination",NA,9.01498062089727e-06
"138","GO:0006354","biosynthetic process","Down, Up","DNA-templated transcription elongation",2.85834244131942e-06,1.91021382183719e-06
"139","GO:0006355","regulation of metabolic process","Down, Up","regulation of DNA-templated transcription",4.54639345465659e-160,1.76398523624241e-150
"140","GO:0006357","biosynthetic process","Down, Up","regulation of transcription by RNA polymerase II",4.10706048721934e-118,5.413124721609e-106
"141","GO:0006364","RNA processing","Down, Up","rRNA processing",2.04212673413755e-16,2.00433117256789e-25
"142","GO:0006366","biosynthetic process","Down, Up","transcription by RNA polymerase II",8.68893108345898e-35,4.04682011309172e-45
"143","GO:0006367","biosynthetic process","Down, Up","transcription initiation at RNA polymerase II promoter",5.82298060217828e-07,1.33683760265606e-09
"144","GO:0006368","biosynthetic process","Down, Up","transcription elongation by RNA polymerase II",2.85834244131942e-06,1.91021382183719e-06
"145","GO:0006396","RNA processing","Down, Up","RNA processing",6.5337882560393e-66,1.34653475391725e-76
"146","GO:0006397","RNA processing","Down, Up","mRNA processing",3.11842923341886e-35,4.80419357951286e-37
"147","GO:0006399","RNA processing","Down, Up","tRNA metabolic process",3.58475147025047e-12,6.7447679380359e-14
"148","GO:0006400","RNA processing","Up","tRNA modification",1.20691755709571e-06,NA
"149","GO:0006401","catabolic process","Down, Up","RNA catabolic process",5.61409054194228e-17,1.73780051511481e-34
"150","GO:0006402","catabolic process","Down, Up","mRNA catabolic process",1.17111278167792e-14,2.10022068395811e-32
"151","GO:0006403","macromolecule localization","Down, Up","RNA localization",1.9446783276089e-24,8.66192327414358e-20
"152","GO:0006405","cellular localization","Down, Up","RNA export from nucleus",3.08925623900911e-11,2.4217876448711e-10
"153","GO:0006406","cellular localization","Down, Up","mRNA export from nucleus",6.11738041437202e-09,3.24238630306498e-07
"154","GO:0006412","amide metabolic process","Down, Up","translation",2.04359189049555e-26,6.7661801790334e-58
"155","GO:0006413","cellular macromolecule metabolic process","Down, Up","translational initiation",1.3634570083536e-09,6.97553701188958e-26
"156","GO:0006414","amide metabolic process","Down, Up","translational elongation",6.59473682765073e-07,1.95633443900659e-11
"157","GO:0006415","protein-containing complex organization, cellular component disassembly","Down, Up","translational termination",6.58338553168524e-07,6.96868448316828e-07
"158","GO:0006417","cellular macromolecule metabolic process","Down, Up","regulation of translation",2.56739027627592e-28,3.34507884548281e-27
"159","GO:0006446","cellular macromolecule metabolic process","Down, Up","regulation of translational initiation",5.68791948808247e-06,1.66358283029993e-06
"160","GO:0006457","protein folding","Down, Up","protein folding",7.788059086414e-23,7.15877838819224e-16
"161","GO:0006458","protein folding","Up","'de novo' protein folding",4.69406309668519e-06,NA
"162","GO:0006468","phosphorus metabolic process","Down, Up","protein phosphorylation",9.73872180835845e-59,4.00337350796266e-44
"163","GO:0006469","regulation of molecular function","Down, Up","negative regulation of protein kinase activity",4.47819344899416e-18,3.04163040861841e-14
"164","GO:0006470","organophosphate metabolic process, phosphorus metabolic process","Down, Up","protein dephosphorylation",5.94443913047561e-09,3.90051420129185e-07
"165","GO:0006473","peptidyl-amino acid modification","Down, Up","protein acetylation",1.24045697000603e-09,2.85118758062438e-16
"166","GO:0006475","peptidyl-amino acid modification","Down, Up","internal protein amino acid acetylation",5.79781193553782e-09,9.78773673508404e-15
"167","GO:0006479","macromolecule modification","Down, Up","protein methylation",5.72237512383798e-07,9.4255061438235e-10
"168","GO:0006486","glycosylation","Down, Up","protein glycosylation",1.00875015367354e-11,3.13127426317185e-14
"169","GO:0006487","carbohydrate derivative metabolic process, glycosylation","Down, Up","protein N-linked glycosylation",4.69490821149389e-06,8.15411031731735e-07
"170","GO:0006493","glycosylation","Down","protein O-linked glycosylation",NA,5.23594303716812e-06
"171","GO:0006508","proteolysis","Down, Up","proteolysis",4.70873561907671e-72,4.77284741044355e-76
"172","GO:0006511","catabolic process","Down, Up","ubiquitin-dependent protein catabolic process",3.51726698930396e-33,3.04883511645783e-33
"173","GO:0006518","amide metabolic process","Down, Up","peptide metabolic process",7.94259146847405e-36,1.05514876657284e-69
"174","GO:0006520","small molecule metabolic process","Down, Up","amino acid metabolic process",4.78788920517837e-17,6.48518593611792e-26
"175","GO:0006575","cellular modified amino acid metabolic process","Down, Up","cellular modified amino acid metabolic process",3.29083952271296e-11,1.32087014561881e-16
"176","GO:0006582","pigment metabolic process","Up","melanin metabolic process",9.62433400074527e-06,NA
"177","GO:0006605","macromolecule localization","Down, Up","protein targeting",1.2925771119351e-20,1.42829590120458e-36
"178","GO:0006606","cellular localization","Down, Up","protein import into nucleus",5.63303232437547e-10,3.02607158257828e-10
"179","GO:0006611","cellular localization","Down, Up","protein export from nucleus",8.0280892561007e-14,1.89043058856122e-11
"180","GO:0006612","cellular localization","Down","protein targeting to membrane",NA,4.87933257703264e-24
"181","GO:0006613","cellular localization","Down","cotranslational protein targeting to membrane",NA,4.33404689496534e-22
"182","GO:0006614","cellular localization","Down","SRP-dependent cotranslational protein targeting to membrane",NA,1.35489545897599e-21
"183","GO:0006629","lipid metabolic process","Down, Up","lipid metabolic process",1.20619471460943e-58,1.3667469738997e-51
"184","GO:0006631","small molecule metabolic process","Down, Up","fatty acid metabolic process",8.08619186079602e-19,4.28097396005997e-17
"185","GO:0006633","small molecule metabolic process","Down, Up","fatty acid biosynthetic process",1.198639730117e-07,1.6506789509771e-06
"186","GO:0006643","lipid metabolic process","Down, Up","membrane lipid metabolic process",3.30205863216693e-11,1.19150755914104e-08
"187","GO:0006644","organophosphate metabolic process, phosphorus metabolic process","Down, Up","phospholipid metabolic process",4.56146681539206e-21,5.23583107658798e-18
"188","GO:0006650","lipid metabolic process","Down, Up","glycerophospholipid metabolic process",9.98489950008898e-18,5.7185994210505e-17
"189","GO:0006661","lipid metabolic process","Down, Up","phosphatidylinositol biosynthetic process",1.47170969341059e-09,6.77612800139959e-08
"190","GO:0006664","carbohydrate derivative metabolic process","Down, Up","glycolipid metabolic process",1.09314965401616e-06,1.23068675961217e-06
"191","GO:0006665","lipid metabolic process","Up","sphingolipid metabolic process",3.16879001419689e-07,NA
"192","GO:0006690","small molecule metabolic process","Up","icosanoid metabolic process",5.78198137753434e-07,NA
"193","GO:0006725","metabolic process","Down, Up","cellular aromatic compound metabolic process",1.88316752550695e-229,6.29734717143669e-268
"194","GO:0006734","pyridine-containing compound metabolic process","Down","NADH metabolic process",NA,6.93216515338179e-06
"195","GO:0006753","small molecule metabolic process","Down, Up","nucleoside phosphate metabolic process",2.4438662302568e-35,5.41147413876935e-50
"196","GO:0006754","small molecule metabolic process","Down","ATP biosynthetic process",NA,4.49536592322705e-08
"197","GO:0006766","small molecule metabolic process","Up","vitamin metabolic process",2.90631597179388e-09,NA
"198","GO:0006790","sulfur compound metabolic process","Down, Up","sulfur compound metabolic process",2.92998845829998e-22,1.29746221387309e-24
"199","GO:0006793","phosphorus metabolic process","Down, Up","phosphorus metabolic process",4.26455880334266e-129,1.1897302067079e-117
"200","GO:0006796","phosphorus metabolic process","Down, Up","phosphate-containing compound metabolic process",1.57922588715223e-125,1.52669215611178e-116
"201","GO:0006805","response to xenobiotic stimulus","Down","xenobiotic metabolic process",NA,2.7499736054847e-06
"202","GO:0006807","metabolic process","Down, Up","nitrogen compound metabolic process",0,0
"203","GO:0006810","localization","Down, Up","transport",4.92997779929166e-234,1.03599274525019e-218
"204","GO:0006811","monoatomic ion transport","Down, Up","monoatomic ion transport",3.33485691529993e-48,7.05451808069863e-49
"205","GO:0006812","monoatomic ion transport","Down, Up","monoatomic cation transport",2.40579102516367e-33,1.82699124466819e-35
"206","GO:0006816","monoatomic ion transport","Down, Up","calcium ion transport",4.57727336207324e-11,6.17152848203932e-11
"207","GO:0006820","monoatomic ion transport","Down, Up","monoatomic anion transport",1.08260004135459e-19,3.85324903958275e-19
"208","GO:0006836","neurotransmitter transport","Down, Up","neurotransmitter transport",2.01106642297249e-15,7.1553811453688e-14
"209","GO:0006839","cellular localization","Down, Up","mitochondrial transport",9.38616003389513e-16,1.71936327349058e-13
"210","GO:0006869","macromolecule localization","Down, Up","lipid transport",1.69853747650585e-12,5.95725372124327e-07
"211","GO:0006873","homeostatic process","Down, Up","intracellular monoatomic ion homeostasis",1.2405213751996e-33,1.05343625695427e-25
"212","GO:0006874","homeostatic process","Down, Up","intracellular calcium ion homeostasis",1.95824173050427e-20,5.39793616659903e-15
"213","GO:0006885","homeostatic process","Up","regulation of pH",5.02943462658225e-06,NA
"214","GO:0006886","macromolecule localization","Down, Up","intracellular protein transport",7.04627709443917e-61,1.84606825151989e-72
"215","GO:0006887","secretion","Down, Up","exocytosis",2.74857535726948e-42,4.04682011309172e-45
"216","GO:0006888","vesicle-mediated transport","Down, Up","endoplasmic reticulum to Golgi vesicle-mediated transport",2.04213939070815e-14,1.67602087183106e-09
"217","GO:0006890","vesicle-mediated transport","Up","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",1.38632426164936e-08,NA
"218","GO:0006892","vesicle-mediated transport","Down, Up","post-Golgi vesicle-mediated transport",1.58298621562952e-08,9.11297851999145e-07
"219","GO:0006897","vesicle-mediated transport","Down, Up","endocytosis",7.05011964495336e-42,1.70171889194562e-31
"220","GO:0006898","vesicle-mediated transport","Down, Up","receptor-mediated endocytosis",5.25540162569053e-14,6.05186410598695e-09
"221","GO:0006900","vesicle organization","Up","vesicle budding from membrane",1.29690631705179e-07,NA
"222","GO:0006903","organelle localization","Up","vesicle targeting",1.51771261253067e-09,NA
"223","GO:0006906","membrane organization","Down, Up","vesicle fusion",2.513694058997e-06,2.27386761359625e-08
"224","GO:0006909","vesicle-mediated transport","Down, Up","phagocytosis",4.89556229935832e-19,7.93268357041625e-13
"225","GO:0006911","membrane organization","Up","phagocytosis, engulfment",5.64609821139495e-06,NA
"226","GO:0006913","cellular localization","Down, Up","nucleocytoplasmic transport",6.7985537743729e-24,2.63242521692943e-22
"227","GO:0006914","regulation of autophagy","Down, Up","autophagy",6.59447547869074e-16,5.02305796845322e-15
"228","GO:0006915","regulation of cell death","Down, Up","apoptotic process",5.44428149734325e-44,7.96717349306257e-36
"229","GO:0006935","response to external stimulus, locomotion","Down, Up","chemotaxis",2.48556958281746e-36,7.3915113964508e-37
"230","GO:0006936","system process","Down, Up","muscle contraction",2.3217570561631e-10,1.65895242772864e-06
"231","GO:0006937","system process","Down, Up","regulation of muscle contraction",4.63769725856403e-09,1.26268251747435e-06
"232","GO:0006949","anatomical structure morphogenesis","Down","syncytium formation",NA,1.5353788168768e-07
"233","GO:0006950","response to stress","Down, Up","response to stress",2.33530404559988e-210,1.55419484746785e-191
"234","GO:0006952","response to stress, defense response","Down, Up","defense response",2.38643054059123e-47,2.24847092262284e-47
"235","GO:0006955","immune system process","Down, Up","immune response",5.27608733124188e-60,2.73152505801358e-65
"236","GO:0006959","immune system process","Down","humoral immune response",NA,2.32659873063195e-09
"237","GO:0006970","response to abiotic stimulus","Up","response to osmotic stress",1.74201904653261e-08,NA
"238","GO:0006974","response to stress","Down, Up","cellular response to DNA damage stimulus",3.62494084991141e-52,2.24232562003107e-42
"239","GO:0006979","response to stress","Down, Up","response to oxidative stress",6.27753017505559e-37,5.3187328542138e-31
"240","GO:0006986","response to chemical, response to organic substance","Down, Up","response to unfolded protein",8.02730158992577e-16,2.94810785496941e-12
"241","GO:0006996","cellular component organization or biogenesis","Down, Up","organelle organization",7.36603224093224e-253,3.94873612416911e-244
"242","GO:0006997","cellular component organization or biogenesis","Down, Up","nucleus organization",4.29860466287324e-11,1.50477479530127e-10
"243","GO:0007005","cellular component organization or biogenesis","Down, Up","mitochondrion organization",1.31968220831522e-33,8.15531617597067e-36
"244","GO:0007006","cellular component organization or biogenesis","Down, Up","mitochondrial membrane organization",1.36706467455113e-07,1.19992059049893e-08
"245","GO:0007010","cellular component organization or biogenesis","Down, Up","cytoskeleton organization",2.75807420394128e-78,2.18859777492996e-76
"246","GO:0007015","regulation of cellular component organization","Down, Up","actin filament organization",3.91642538869696e-15,5.08677769644359e-20
"247","GO:0007017","microtubule-based process","Down, Up","microtubule-based process",1.76703070641235e-62,3.30253692715251e-50
